GovernmentName,FiscalYear,TaxRateMO,TaxRateIS,TaxRateTotal,TaxableValue,BudgetedTotalExpenditures,Population,ADAWealth,ADA,ADA5YrsAgo,ADAGrowth,ADAGrowthPct,PledgeType,TotalPrincipalOutstanding,TotalInterestOutstanding,TotalDebtServiceOutstanding,GODebtToTaxableValue,GODebtServiceToTaxableValue,DebtPerCapitaPledgeType,DebtPerADA,DebtServiceToExpenditures
Port Neches-Groves ISD,2022,1.0209,0.355,1.3759,6298663352,78840235,30147,596132.12,4878.33,4847,31.33,0.6464,GO,195280000,61368232,256648232,3.1003,4.0746,6478,40033,3.2553
Hartley ISD,2022,0.872,0.234,1.106,456810040,3587700,920,1059716.89,215.53,221,-5.47,-2.4751,GO,4140000,912813,5052813,0.9063,1.1061,4500,19167,1.4084
Sulphur Springs ISD,2022,0.872,0.3105,1.1825,3337576452,53585061,23495,449661.78,3989.7,4018,-28.3,-0.7043,GO,44655000,14963519,59618519,1.3379,1.7863,1901,11192,1.1126
Holliday ISD,2022,1.9706,0.62,2.5906,847057882,15347285,4474,392515.51,1079.01,966,113.01,11.6988,GO,14760000,5295803,20055803,1.7425,2.3677,3299,13679,1.3068
Marshall ISD,2022,0.9634,0.2899,1.2533,4930506634,63750106,30308,559405.08,4572.19,4889,-316.81,-6.4801,GO,77670000,26582711,104252711,1.5753,2.1144,2563,16988,1.6353
Sierra Blanca ISD,2022,0.9764,0.41,1.3864,345030366,3257117,401,1621276.64,106.41,106,0.41,0.3868,GO,8205000,3593900,11798900,2.3781,3.4197,20461,77406,3.6225
Florence ISD,2022,1.9206,0.327,2.2476,1345374020,18129240,5492,649303.18,1034.57,971,63.57,6.5469,GO,56285000,37352202,93637202,4.1836,6.9599,10249,54382,5.165
Port Arthur ISD,2022,1.0517,0.5341,1.5858,10296364884,133186565,46359,727940.63,7001.8,7738,-736.2,-9.5141,GO,339655000,154117586,493772586,3.2988,4.7956,7327,48508,3.7074
Hearne ISD,2022,0.8747,0.151,1.0257,1087863786,16512916,5603,838461.94,647.94,792,-144.06,-18.1894,GO,6970000,1058460,8028460,0.6407,0.738,1244,10756,0.4862
Hays CISD,2022,2.616,1.4631,4.0791,22832267030,268333358,91046,578779.51,19724.5,18431,1293.5,7.0181,GO,506935000,225152504,732087504,2.2203,3.2064,5568,25700,2.7283
Priddy ISD,2022,1.744,0.402,2.146,208051564,4056520,346,443548.75,108.52,98,10.52,10.7347,GO,805000,262825,1067825,0.3869,0.5133,2327,7385,0.2632
Iraan-Sheffield ISD,2022,0.9734,0.15,1.1234,1921944122,9406494,1166,2719241.2,295.4,452,-156.6,-34.646,GO,10930000,2181684,13111684,0.5687,0.6822,9374,37051,1.3939
Chapel Hill ISDa,2022,0.989,0.11,1.099,2951779128,45519147,23959,472640.67,3113.17,3297,-183.83,-5.5757,GO,12564000,2635599,15199599,0.4256,0.5149,524,4036,0.3339
Laredo ISD,2022,0.9427,0.4465,1.3892,5062936802,340010930,86520,142491.42,18018.26,21756,-3737.74,-17.1803,GO,260195000,126270706,386465706,5.1392,7.6332,3007,14441,1.1366
Frenship ISD,2022,1.7918,0.96,2.7518,10305880492,128634483,68556,509168.32,10109.51,9102,1007.51,11.0691,GO,466872576,263263089,730135666,4.5302,7.0847,6810,46179,5.676
Hallsburg ISD,2023,0.8546,0.1126,0.9672,245066810,2182746,1441,940900.93,129.83,157.03,-27.2,-17.3215,GO,1823699,833208,2656906,0.7442,1.0842,1266,14028,1.2172
Anson ISD,2022,0.9603,0.155,1.1153,537325534,10286281,3848,272147.07,677.05,710,-32.95,-4.6408,GO,4005000,764300,4769300,0.7454,0.8876,1041,5916,0.4637
Corsicana ISD,2022,1.9268,0.5618,2.4886,4394629812,73221831,30167,400147.51,5483.63,5479,4.63,0.0845,GO,78530304,35210604,113740908,1.787,2.5882,2603,14320,1.5534
Shallowater ISD,2022,0.9771,0.38,1.3571,857306094,22073051,6663,267478.79,1600.88,1532,68.88,4.4961,GO,48438627,32735131,81173758,5.6501,9.4685,7270,30255,3.6775
Oakwood ISD,2022,1.9194,0.3688,2.2882,358008876,3270423,1753,853740.33,209.26,186,23.26,12.5054,GO,5039000,1052638,6091638,1.4075,1.7015,2875,24110,1.8626
Whitewright ISD,2022,2.8809,0.4539,3.3348,791042676,10839919,3244,571000.22,692.14,802,-109.86,-13.6983,GO,18905000,10078621,28983621,2.3899,3.664,5828,27319,2.6738
Nederland ISD,2022,0.872,0.3,1.172,6646383532,79467104,27719,691591.62,4681.33,5009,-327.67,-6.5416,GO,146920000,63972858,210892858,2.2105,3.173,5300,31386,2.6538
Paint Creek ISD,2022,,,,,2625560,519,2295580.64,86.68,118,-31.32,-26.5424,LP,410964,57386,468350,,,792,4724,0.1784
Plains ISD,2022,0.9634,0.4609,1.4243,1940326976,12090403,1912,2588438.07,377.24,413,-35.76,-8.6586,GO,18015000,2731375,20746375,0.9285,1.0692,9422,47785,1.7159
Yoakum ISD,2022,2.8902,1.41,4.3002,1908035628,28493913,8398,544553.12,1380.33,1475,-94.67,-6.4183,GO,30715000,6324556,37039556,1.6098,1.9412,3657,22257,1.2999
San Diego ISD,2022,1.7494,0.8158,2.5652,713187696,24915326,7148,296577.91,1283.15,1298,-14.85,-1.1441,GO,22730000,10120389,32850389,3.1871,4.6061,3180,17716,1.3185
Johnson City ISD,2022,3.488,0.7756,4.2636,2225721860,15864388,5350,1697866.82,654.82,631,23.82,3.775,GO,9610000,1063125,10673125,0.4318,0.4795,1796,14672,0.6728
Santa Rosa ISD,2022,0.992,0.2607,1.2527,258045472,15764700,4335,163109.61,788.65,1033,-244.35,-23.6544,GO,6370000,1770000,8140000,2.4686,3.1545,1469,8074,0.5163
