GovernmentName,FiscalYear,TaxRateMO,TaxRateIS,TaxRateTotal,TaxableValue,BudgetedTotalExpenditures,Population,ADAWealth,ADA,ADA5YrsAgo,ADAGrowth,ADAGrowthPct,PledgeType,TotalPrincipalOutstanding,TotalInterestOutstanding,TotalDebtServiceOutstanding,GODebtToTaxableValue,GODebtServiceToTaxableValue,DebtPerCapitaPledgeType,DebtPerADA,DebtServiceToExpenditures
New Waverly ISD,2015,1.04,0.2,1.24,271276617,10722080,4928,300814.9697,898,830,68,8.1928,GO,6205000,1803575,8008575,2.2873,2.9522,1259,6910,0.7469
Murchison ISD,2011,,,,,1661667,880,326493.7425,126,141,-15,-10.6383,LP,775000,257880,1032880,,,881,6151,0.6216
Weslaco ISD,2012,1.14,0,1.14,1794449858,181716459,66512,109486.6308,16390,15308,1082,7.0682,GO,74866000,39143372,114009372,4.1721,6.3534,1126,4568,0.6274
McLean ISD,2021,0.9664,0.21,1.1764,84675354,3415870,1098,460901.03,183.717,217,-33.283,-15.3378,GO,1000000,110000,1110000,1.181,1.3109,911,5435,0.325
Waskom ISD,2019,1.04,0.39,1.43,399549150,11136540,5592,495799.5056,827.983,851,-23.017,-2.7047,GO,18170000,6713716,24883716,4.5476,6.2279,3249,21944,2.2344
San Diego ISD,2020,0.97,0.3738,1.3438,242610747,19019514,7148,211806.92,1233.866,1244,-10.134,-0.8146,GO,24435000,12159961,36594961,10.0717,15.0838,3418,19801,1.9241
La Grange ISD,2021,0.9564,0.1959,1.1523,1280071249,33425759,12607,737003.97,1736.858,1877,-140.142,-7.4663,GO,29990000,17748400,47738400,2.3428,3.7294,2379,17265,1.4282
Elysian Fields ISD,2007,1.313,0.095,1.408,463404719,7563708,4473,496715.4505,933,924,9,0.974,GO,13575000,6868534,20443534,2.9294,4.4116,3035,14550,2.7028
Trent ISD,2017,1.17,0.33,1.5,131703609,3085745,3859,801175.9331,172,157,15,9.5541,GO,4540000,1433594,5973594,3.4471,4.5356,1176,26395,1.9359
Klein ISD,2014,1.04,0.39,1.43,13920538569,497006275,240896,,45318,42080,3238,7.6949,GO,753090000,477173019,1230263019,5.4099,8.8378,3126,16618,2.4753
Refugio ISD,2007,1.335,0.105,1.44,484819649,8471370,,709399.0823,683,760,-77,-10.1316,GO,5700000,1038976,6738976,1.1757,1.39,,8346,0.7955
Cushing ISD,2013,1.04,0.26,1.3,290927567,8732405,2617,630462.5345,461,450,11,2.4444,GO,8821000,3383273,12204273,3.032,4.195,3371,19134,1.3976
Shepherd ISD,2020,1.0683,0.225,1.2934,474868655,23828901,9670,266556.27,1781.495,1770,11.495,0.6494,GO,20935000,6947130,27882130,4.4086,5.8715,2165,11755,1.1701
Duncanville ISD,2007,1.37,0.366,1.736,3229304323,122249159,59144,280575.1938,11510,9955,1555,15.6203,GO,182847403,195909542,378756945,5.6621,11.7287,3092,15886,3.0982
Blum ISD,2008,1.17,0.202,1.372,74996439,3812187,2000,235525.306,318,295,23,7.7966,GO,3144841,1848514,4993355,4.1933,6.6581,1572,9889,1.3098
Hunt ISD,2018,1.04,0.1034,1.1434,386204547,2398604,1527,2041782.5343,175,182,-7,-3.8462,GO,3705000,1250863,4955863,0.9593,1.2832,2426,21171,2.0661
Lorena ISD,2020,1.0683,0.3669,1.4352,576949887,19162313,7516,350359.67,1645.718,1620,25.718,1.5875,GO,27099003,16679571,43778573,4.6969,7.5879,3606,16464,2.2846
Huntsville ISD,2013,1.04,0.17,1.21,1936527251,54130022,53784,333826.7402,5801,5553,248,4.4661,GO,28356845,14085092,42441938,1.4643,2.1917,527,4888,0.7841
North East ISD,2011,1.04,0.363,1.403,27190783576,861659974,400404,433680.248,62698,55866,6832,12.2293,GO,1225367690,842199460,2067567150,4.5066,7.6039,3060,19544,2.3995
Southside ISD,2014,1.17,0.1989,1.3689,841564413,52238077,351,178934.925,4703,4776,-73,-1.5285,GO,51520000,25185709,76705709,6.1219,9.1147,146781,10955,1.4684
Sulphur Springs ISD,2007,1.304,0.108,1.412,966330542,34328273,22246,252005.9152,3835,3624,211,5.8223,GO,14870000,7102021,21972021,1.5388,2.2738,668,3877,0.6401
Columbus ISD,2008,0.99,0.2,1.19,629550902,14177756,8900,440547.2995,1429,1489,-60,-4.0296,GO,16084988,9811696,25896685,2.555,4.1135,1807,11256,1.8266
Calallen ISD,2019,1.17,0.233,1.403,1535182635,52890439,21408,391801.1289,3807.33,3756,51.33,1.3666,GO,71190000,45656106,116846106,4.6372,7.6112,3325,18700,2.2092
Cedar Hill ISD,2016,1.04,0.485,1.525,2715081592,84695653,42297,356868.678,7574,7624,-50,-0.6558,GO,122812031,153811848,276623879,4.5233,10.1884,2904,16215,3.2661
Clyde CISD,2020,0.99,0.3397,1.3297,519547629,15955159,12647,400283.53,1297.367,1389,-91.633,-6.597,GO,19510000,7329050,26839050,3.7552,5.1658,1543,15042,1.6822
Friona ISD,2015,0.94,0.0767,1.0167,351147070,16274055,4562,319001.5052,1060,1122,-62,-5.5258,GO,3340000,400850,3740850,0.9512,1.0653,732,3151,0.2299
Seguin ISD,2021,0.9764,0.385,1.3614,3686609076,103566827,39870,581821.33,6325.961,6609,-283.039,-4.2826,GO,174289809,79586556,253876364,4.7276,6.8864,4371,27551,2.4513
Beeville ISD,2014,1.04,0.2142,1.2542,725134700,33216893,25452,237598.1876,3052,3227,-175,-5.423,GO,20188686,8642897,28831583,2.7841,3.976,793,6615,0.868
Lampasas ISD,2015,1.17,0.28,1.45,1052910634,34945973,19150,334790.8479,3138,3170,-32,-1.0095,GO,38639982,15357058,53997039,3.6698,5.1284,2018,12314,1.5452
Irving ISD,2009,1.02,0.371,1.391,9462598935,309601142,195314,310377.9472,30487,28813,1674,5.8099,GO,509297217,448085709,957382926,5.3822,10.1175,2608,16705,3.0923
Onalaska ISD,2017,1.04,0.195,1.235,506419619,11221068,6938,496953.8216,960,876,84,9.589,GO,11970047,7418656,19388703,2.3637,3.8286,1725,12469,1.7279
Edgewood ISDb,2010,,,,,13092041,4414,230410.7638,886,886,0,0,LP,1928833,1029207,2958040,,,437,2177,0.2259
Milford ISD,2012,1.04,0.118,1.158,70199955,2733917,1020,344178.1638,204,211,-7,-3.3175,GO,185000,23250,208250,0.2635,0.2967,181,907,0.0762
Bastrop ISD,2015,1.04,0.401,1.441,3079159543,99784876,51178,333550.2871,9215,8407,808,9.611,GO,167699094,157213697,324912791,5.4463,10.552,3277,18198,3.2561
Thrall ISD,2017,1.17,0.219,1.389,212457832,6619092,3316,324116.5086,630,591,39,6.599,GO,15480000,8296887,23776887,7.2862,11.1913,4668,24571,3.5922
Tomball ISD,2020,0.97,0.32,1.29,11409204499,191510110,97133,664502.74,17312.951,13459,3853.951,28.6347,GO,587705000,300761843,888466843,5.1511,7.7873,6051,33946,4.6393
Lometa ISD,2019,1.04,0.2971,1.3371,133352906,3833316,1423,475422.9267,271.858,246,25.858,10.5114,GO,3645000,1953975,5598975,2.7333,4.1986,2561,13401,1.4606
Henrietta ISD,2020,0.97,0.27,1.24,399207765,12423147,5343,459425.27,868.075,905,-36.925,-4.0801,GO,7515000,1892000,9407000,1.8825,2.3564,1407,8658,0.7572
Lingleville ISD,2017,1.04,0.0783,1.1183,84334582,2506543,1388,308948.33,250,222,28,12.6126,GO,976000,325080,1301080,1.1573,1.5428,703,3904,0.5191
Millsap ISD,2007,1.37,0.237,1.607,195873183,6970645,3659,270961.4889,723,705,18,2.5532,GO,20974996,20171044,41146040,10.7085,21.0065,5732,29011,5.9028
Bosqueville ISD,2020,1.0683,0.254,1.3224,201300302,8236848,3071,292340.95,687.452,606,81.452,13.4409,GO,7520000,2336314,9856314,3.7357,4.8963,2449,10946,1.1966
Fayetteville ISD,2020,0.97,0.29,1.26,245751785,6493696,1785,1041700.73,235.914,218,17.914,8.2174,GO,7040000,3571213,10611213,2.8647,4.3179,3944,29831,1.6341
Leon ISD,2020,0.97,0.18,1.15,891687051,10500267,4891,1421012.16,627.471,736,-108.529,-14.7458,GO,3730000,214050,3944050,0.4183,0.4423,763,5949,0.3756
San Antonio ISD,2016,1.04,0.3426,1.3826,14399455408,792995901,296619,302898.2796,47404,48793,-1389,-2.8467,GO,783554988,509818215,1293373202,5.4416,8.9821,2642,16529,1.631
Troy ISD,2008,1.033,0.235,1.268,210409829,10756799,4683,174587.0173,1205,1212,-7,-0.5776,GO,21429993,18636135,40066128,10.1849,19.0419,4576,17784,3.7247
Grapevine-Colleyville ISD,2014,1.04,0.2801,1.3201,11049508114,170344276,71576,,12932,13001,-69,-0.5307,GO,338573481,268688315,607261796,3.0641,5.4958,4730,26181,3.5649
West Sabine ISD,2012,1.04,0.339,1.379,91561988,12648344,2569,156807.5861,584,592,-8,-1.3514,GO,8995000,6942008,15937008,9.8239,17.4057,3501,15402,1.26
Northwest ISD,2008,1,0.335,1.335,8316129498,131737685,77824,744238.7944,11174,5914,5260,88.9415,GO,454313735,382934878,837248612,5.463,10.0678,5838,40658,6.3554
Paint Rock ISD,2020,1.3318,0,1.3318,75307179,3914393,1112,370656.3,203.068,230,-26.932,-11.7096,GO,1890000,644775,2534775,2.5097,3.3659,1700,9310,0.6476
Edgewood ISDb,2012,,,,,11083237,4866,244859.4827,879,905,-26,-2.8729,LP,1798126,846510,2644636,,,370,2046,0.2386
Farwell ISD,2010,1.04,0.053,1.093,132692310,5071411,2062,256581.3151,517,457,60,13.1291,GO,365000,44328,409328,0.2751,0.3085,177,706,0.0807
North Lamar ISD,2010,1.04,0.108,1.148,832490569,27583048,15907,294619.1386,2826,3013,-187,-6.2064,GO,1780000,156384,1936384,0.2138,0.2326,112,630,0.0702
Sunray ISD,2019,1.04,0.39,1.43,266968904,10373234,2099,500246.126,508.902,484,24.902,5.145,GO,9411000,1737732,11148732,3.5251,4.176,4484,18489,1.0748
Uvalde CISD,2021,0.9978,0.199,1.1968,1242677664,54481780,18679,375291.63,3548.438,4160,-611.562,-14.701,GO,9290000,942771,10232771,0.7476,0.8234,497,2618,0.1878
Hitchcock ISD,2020,0.97,0.41,1.38,794924595,26068946,11115,542909.16,1461.566,1369,92.566,6.7616,GO,27572549,14408896,41981445,3.4686,5.2812,2481,18859,1.6104
Carrollton-Farmers Branch ISD,2019,1.17,0.2,1.37,21176092903,299697009,195581,748592.7117,23564.438,24503,-938.562,-3.8304,GO,230980000,59614453,290594453,1.0908,1.3723,1181,9802,0.9696
Whiteface CISD,2017,1.04,0.39,1.43,316048947,8187270,1039,1897800.4458,306,327,-21,-6.422,GO,11350000,1420449,12770449,3.5912,4.0407,10924,37092,1.5598
Anahuac ISD,2013,1.04,0.3,1.34,389186962,12507938,7268,345527.7972,1126,1316,-190,-14.4377,GO,15230000,5687094,20917094,3.9133,5.3746,2095,13526,1.6723
Early ISD,2017,1.17,0.2295,1.3995,280455082,17062019,4719,244968.5447,1118,1128,-10,-0.8865,GO,19339995,9624486,28964481,6.8959,10.3277,4098,17299,1.6976
Aldine ISD,2011,1.133,0.167,1.3,12523849025,654739314,300000,217610.6027,57552,53493,4059,7.5879,GO,422215000,214510547,636725547,3.3713,5.0841,1407,7336,0.9725
Waco ISD,2011,1.04,0.325,1.365,3674465910,234951734,120000,266681.8045,13778,14187,-409,-2.8829,GO,201504917,161024930,362529848,5.4839,9.8662,1679,14625,1.543
Granger ISD,2014,1.04,0.065,1.105,118061400,4187598,2060,,389,388,1,0.2577,GO,780000,118994,898994,0.6607,0.7615,379,2005,0.2147
Center Point ISD,2019,1.04,0.04,1.08,310956151,6786833,3883,565562.0395,532.685,547,-14.315,-2.617,GO,1410000,195737,1605737,0.4534,0.5164,363,2645,0.2366
Malone ISD,2015,,,,,1581320,713,511792.6091,83,86,-3,-3.4884,LP,563000,132832,695832,,,790,6783,0.44
Pilot Point ISD,2018,1.17,0.2,1.37,696183284,15557390,7344,484813.1174,1297,1327,-30,-2.2607,GO,15985000,5758160,21743160,2.2961,3.1232,2177,12325,1.3976
Lake Dallas ISD,2018,1.17,0.5,1.67,1709351195,46011171,20612,417390.6705,3751,3745,6,0.1602,GO,77342787,81156613,158499400,4.5247,9.2725,3752,20619,3.4448
Riesel ISD,2014,1.04,0.2964,1.3364,556767263,7090231,2284,,565,553,12,2.17,GO,26178029,21534662,47712691,4.7018,8.5696,11461,46333,6.7294
Trent ISD,2007,1.37,0.39,1.76,98820960,2264791,867,612243.2593,161,149,12,8.0537,GO,4305000,3223083,7528083,4.3564,7.6179,4965,26739,3.324
Linden-Kildare CISD,2010,1.17,0,1.17,208267848,7676559,5412,276117.3315,754,842,-88,-10.4513,GO,840000,34902,874902,0.4033,0.4201,155,1114,0.114
Irving ISD,2013,1.04,0.425,1.465,8622855397,378359179,216970,266663.605,32336,30487,1849,6.0649,GO,534452377,390748921,925201298,6.1981,10.7296,2463,16528,2.4453
Covington ISD,2014,1.17,0.1418,1.3118,77489305,3062925,1442,,249,262,-13,-4.9618,GO,955000,137228,1092228,1.2324,1.4095,662,3835,0.3566
Hamshire-Fannett ISD,2012,1.17,0.186,1.356,670318056,16925909,8000,405481.2327,1653,1645,8,0.4863,GO,10225000,2213845,12438845,1.5254,1.8557,1278,6186,0.7349
May ISD,2012,1.04,0.269,1.309,142802500,3325552,1758,626527.3531,228,252,-24,-9.5238,GO,5598000,2008789,7606789,3.9201,5.3268,3184,24553,2.2874
Dumas ISD,2007,1.356,0.032,1.388,1805223459,29145527,17103,493882.8915,3655,3895,-240,-6.1617,GO,2540000,232301,2772301,0.1407,0.1536,149,695,0.0951
Brenham ISD,2020,0.97,0.08,1.05,2950063831,59570669,29120,641773.87,4617.467,4594,23.467,0.5108,GO,35594638,25068713,60663351,1.2066,2.0563,1222,7709,1.0183
Marble Falls ISD,2020,0.9833,0.2153,1.1986,4250928470,58259159,25706,1096993.36,3877.685,3913,-35.315,-0.9025,GO,98065000,38969981,137034981,2.3069,3.2236,3815,25288,2.3522
Comal ISD,2019,1.04,0.35,1.39,15951067503,343430629,148325,706215.19,22648.837,19235,3413.837,17.748,GO,747720504,409501722,1157222226,4.6876,7.2548,5041,33013,3.3696
Mathis ISD,2019,1.17,0.2596,1.4296,343492699,22265197,7940,237692.197,1468.93,1580,-111.07,-7.0297,GO,26090887,13878124,39969011,7.5958,11.6361,3286,17761,1.7951
Harlandale ISD,2014,1.17,0.3588,1.5288,1170522010,155438757,60887,84082.4838,13921,13176,745,5.6542,GO,181456639,106100989,287557628,15.5022,24.5666,2980,13035,1.85
San Diego ISD,2008,1.04,0.344,1.384,122210962,14110274,6647,99446.4714,1229,1447,-218,-15.0657,GO,15859997,11287389,27147386,12.9776,22.2135,2386,12905,1.9239
Decatur ISD,2015,1.04,0.25,1.29,2277557614,38325352,14851,804619.0113,2828,2839,-11,-0.3875,GO,70637612,47173001,117810613,3.1015,5.1727,4756,24978,3.074
Carrizo Springs CISD,2019,1.06,0.0567,1.1167,5561899859,29647693,10941,2618615.0067,2014.796,2245,-230.204,-10.2541,GO,40785000,19929738,60714738,0.7333,1.0916,3728,20241,2.0479
New Boston ISD,2014,1.17,0.244,1.414,391667742,14814807,7461,308314.5855,1270,1299,-29,-2.2325,GO,15468112,10267169,25735281,3.9493,6.5707,2073,12180,1.7371
Hallsburg ISD,2014,1.04,0,1.04,60174047,1514709,1378,,148,95,53,55.7895,GO,2363452,1707129,4070581,3.9277,6.7647,1715,15969,2.6874
Henderson ISD,2009,1.04,0.14,1.18,1780736620,40028151,20400,566191.0785,3145,3250,-105,-3.2308,GO,28535254,15719363,44254618,1.6024,2.4852,1399,9073,1.1056
Little Elm ISD,2007,1.361,0.379,1.74,1272599839,54322638,20500,264653.8825,4809,2048,2761,134.8145,GO,131927086,181650877,313577963,10.3667,24.6407,6435,27433,5.7725
Tioga ISD,2016,1.04,0.49,1.53,81040055,5175282,1628,191262.236,424,149,275,184.5638,GO,6550193,3747582,10297775,8.0827,12.707,4023,15449,1.9898
West Sabine ISD,2019,1.04,0.24,1.28,120499941,8181191,2804,208576.3339,546.369,616,-69.631,-11.3037,GO,7645000,2649038,10294038,6.3444,8.5428,2726,14002,1.2583
Raymondville ISD,2007,1.264,0.096,1.36,360409563,24318597,11092,165521.3799,2177,2479,-302,-12.1823,GO,15519998,8400693,23920691,4.3062,6.6371,1399,7129,0.9836
Hubbard ISDb,2016,1.04,0.5,1.54,69238507,5077681,558,207388.0137,333,356,-23,-6.4607,GO,9434000,4966286,14400286,13.6254,20.7981,16907,28330,2.836
Slaton ISD,2008,1.04,0.1,1.14,245068828,13805652,9440,202221.6916,1212,1278,-66,-5.1643,GO,5035000,1767538,6802538,2.0545,2.7758,533,4154,0.4927
Carrizo Springs CISD,2011,1.145,0.055,1.2,465556260,24721448,10383,217661.9434,2139,2225,-86,-3.8652,GO,6233343,3574975,9808318,1.3389,2.1068,600,2914,0.3968
Central ISD,2020,1.0683,0.1789,1.2472,281294867,16852029,8072,196269.01,1462.267,1486,-23.733,-1.5971,GO,9895000,3172800,13067800,3.5177,4.6456,1226,6768,0.7754
Frenship ISD,2013,1.04,0.46,1.5,2608230478,82763916,49800,343193.8654,7600,6662,938,14.0799,GO,173169461,116523061,289692522,6.6393,11.1069,3477,22785,3.5002
Calallen ISD,2018,1.17,0.2052,1.3752,1487099195,43529406,21408,382810.3332,3815,3737,78,2.0872,GO,73160000,48718394,121878394,4.9196,8.1957,3417,19177,2.7999
White Oak ISD,2021,1.0547,0.2777,1.3324,355497492,17586771,5624,286381.9,1358.244,1424,-65.756,-4.6177,GO,20012000,5244013,25256013,5.6293,7.1044,3558,14736,1.4361
San Felipe-Del Rio CISD,2013,1.04,0.1395,1.1795,1508414517,95563408,46049,154856.5888,9741,9409,332,3.5285,GO,47899993,21442230,69342223,3.1755,4.597,1040,4917,0.7256
Coolidge ISD,2014,1.04,0.1542,1.1942,37328303,3507873,1505,,309,261,48,18.3908,GO,2343000,882407,3225407,6.2767,8.6406,1557,7583,0.9195
Cushing ISD,2021,0.9664,0.26,1.2264,182118553,7513749,2998,977884.5,528.565,511,17.565,3.4374,GO,10159000,2394631,12553631,5.5782,6.8931,3389,19204,1.6708
Driscoll ISD,2013,1.04,0.225,1.265,129119798,3864227,1598,488457.3696,264,243,21,8.642,GO,1750000,294200,2044200,1.3553,1.5832,1095,6629,0.529
Progreso ISD,2010,1.04,0.27,1.31,133991272,25862186,6140,64755.1092,2069,1912,157,8.2113,GO,24065000,14244439,38309439,17.9601,28.591,3919,11631,1.4813
Wortham ISD,2016,1.04,0.286,1.326,141631182,5281276,11431,292501.3447,484,450,34,7.5556,GO,5645000,2845300,8490300,3.9857,5.9947,494,11663,1.6076
Joaquin ISD,2020,1.0683,0.4734,1.5417,202258120,8921723,2000,376083.93,576.024,652,-75.976,-11.6528,GO,11180000,3286506,14466506,5.5276,7.1525,5590,19410,1.6215
Bartlett ISD,2014,1.04,0.1147,1.1547,95729081,4504079,4034,265454.7297,361,354,7,1.9774,GO,1310000,1038575,2348575,1.3684,2.4534,325,3629,0.5214
Bay City ISD,2010,1.17,0.15,1.32,1027082567,38684182,21167,293823.3869,3496,3888,-392,-10.0823,GO,21213484,8122069,29335553,2.0654,2.8562,1002,6068,0.7583
Corsicana ISD,2016,1.04,0.3303,1.3703,1432879428,57815907,29778,257484.1979,5557,5370,187,3.4823,GO,93741116,70321125,164062241,6.5421,11.4498,3148,16869,2.8377
Laneville ISD,2018,1.17,0,1.17,82502115,2217478,1422,538008.2306,156,147,9,6.1224,GO,321000,107518,428518,0.3891,0.5194,226,2058,0.1932
Huntington ISD,2020,1.0683,0.1722,1.2405,351534303,18513190,8066,267638.24,1472.717,1589,-116.283,-7.318,GO,13631000,4011652,17642652,3.8776,5.0188,1690,9254,0.953
Liberty ISD,2014,1.06,0.1086,1.1686,1092338394,24984973,11445,,1938,2027,-89,-4.3907,GO,15659384,6075281,21734665,1.4336,1.9897,1368,8080,0.8699
Malakoff ISD,2010,0.99,0.16,1.15,997640310,17545054,8957,889711.2212,1121,1116,5,0.448,GO,17005000,7426156,24431156,1.7045,2.4489,1899,15169,1.3925
Simms ISD,2009,1.029,0.061,1.09,84886524,5353782,5700,147071.4007,577,543,34,6.2615,GO,1715000,1125034,2840034,2.0203,3.3457,301,2972,0.5305
Comal ISD,2009,1.04,0.27,1.31,9827858581,224627771,78136,649091.5778,15141,11274,3867,34.3002,GO,488134408,445007641,933142049,4.9668,9.4949,6247,32239,4.1542
Galveston ISD,2012,1.04,0.125,1.165,4849553699,83506831,44617,845337.4216,5737,7150,-1413,-19.7622,GO,69049999,26244078,95294077,1.4238,1.965,1548,12036,1.1412
Clarendon ISD,2013,,,,,5300394,3232,323307.683,429,473,-44,-9.3023,LP,1032257,421856,1454113,,,319,2406,0.2743
Graham ISD,2021,0.9664,0.3106,1.277,772492053,25442884,14464,351596.96,2195.3,2301,-105.7,-4.5937,GO,18580000,3320700,21900700,2.4052,2.8351,1285,8465,0.8608
Hawley ISD,2012,1.17,0.12,1.29,98051770,8754761,2872,148845.1917,659,682,-23,-3.3724,GO,8230000,3858590,12088590,8.3935,12.3288,2866,12489,1.3808
Santa Gertrudis ISD,2019,1.04,0.3248,1.3648,109841538,8806489,47,154187.5554,755.105,591,164.105,27.7673,GO,2742000,177390,2919390,2.4963,2.6578,58340,3632,0.3315
Loop ISD,2014,0.8467,0.09,0.9367,522103809,5560555,364,,108,127,-19,-14.9606,GO,2870000,225500,3095500,0.5497,0.5929,7885,26574,0.5567
Plemons-Stinnett-Phillips CISD,2008,1.004,0.06,1.064,1496827872,8667383,2500,2800531.1181,534,594,-60,-10.101,GO,3235000,296244,3531244,0.2161,0.2359,1294,6058,0.4074
Sabine ISD,2018,1.04,0.2614,1.3014,398098159,13896152,7194,319202.8719,1385,1283,102,7.9501,GO,18255000,13040466,31295466,4.5856,7.8612,2538,13181,2.2521
Farmersville ISD,2009,1.04,0.24,1.28,316968343,12352838,7769,229591.3756,1381,1392,-11,-0.7902,GO,16180000,6923661,23103661,5.1046,7.2889,2083,11716,1.8703
Perryton ISD,2009,1.04,0.065,1.105,842035736,19206706,9500,408208.6876,2063,1818,245,13.4763,GO,4385000,926400,5311400,0.5208,0.6308,462,2126,0.2765
May ISD,2010,1.04,0.114,1.154,121854577,3227704,1758,493456.2385,247,258,-11,-4.2636,GO,1440000,313281,1753281,1.1817,1.4388,819,5830,0.5432
Alamo Heights ISD,2010,1.04,0.122,1.162,4969218681,49925719,29964,1115062.1416,4456,4161,295,7.0896,GO,95769900,61662946,157432846,1.9273,3.1682,3196,21492,3.1533
Karnes City ISD,2012,0.98,0.068,1.048,590328383,11173916,4455,622549.6872,948,887,61,6.8771,GO,3335000,782944,4117944,0.5649,0.6976,749,3518,0.3685
Miller Grove ISD,2017,1.17,0.15,1.32,53387192,2774818,1538,182426.9139,270,219,51,23.2877,GO,1640000,428050,2068050,3.0719,3.8737,1066,6074,0.7453
Muleshoe ISD,2019,1.17,0.17,1.34,289007714,17927651,6378,203349.2891,1306.425,1333,-26.575,-1.9936,GO,32375000,13529735,45904735,11.2021,15.8836,5076,24789,2.5606
Knippa ISD,2018,1.17,0.14,1.31,81642349,4549973,1130,357190.2456,409,335,74,22.0896,GO,3460000,1231943,4691943,4.238,5.7469,3062,8460,1.0312
Alvin ISD,2007,1.318,0.228,1.546,3116471681,142303639,63000,235257.4684,13247,10634,2613,24.5721,GO,318007199,216862212,534869411,10.2041,17.1627,5048,24006,3.7586
Moody ISD,2021,0.9891,0.2305,1.2196,226505193,9520794,3731,362144.56,621.903,626,-4.097,-0.6545,GO,9155000,3019738,12174738,4.0418,5.375,2454,14719,1.2788
Lipan ISD,2010,1.17,0.162,1.332,181263644,3077499,1017,713678.5401,254,270,-16,-5.9259,GO,2356267,2612494,4968762,1.2999,2.7412,2317,9277,1.6145
Knippa ISD,2010,1.04,0.069,1.109,47292411,2308550,1104,218802.5048,216,231,-15,-6.4935,GO,770000,232025,1002025,1.6282,2.1188,697,3565,0.434
Royse City ISD,2016,1.17,0.5,1.67,1272265369,51418332,22437,257183.5148,4944,4432,512,11.5523,GO,98531073,91246954,189778026,7.7445,14.9165,4391,19929,3.6909
Zavalla ISD,2021,1.0547,0.3656,1.4203,112154689,5136233,15155,436413.81,268.599,345,-76.401,-22.1452,GO,5030000,1272087,6302087,4.4849,5.6191,332,18699,1.227
Canton ISD,2017,1.04,0.431,1.471,655508930,20553828,11946,297528.9742,2060,1955,105,5.3708,GO,32065650,16043207,48108857,4.8917,7.3392,2684,15566,2.3406
Roby CISD,2007,1.37,0.08,1.45,55762031,3039435,1814,205989.7046,271,308,-37,-12.013,GO,570000,152978,722978,1.0222,1.2965,314,2103,0.2379
Snook ISD,2012,1.04,0.38,1.42,131235093,6187341,2657,259112.6049,506,449,57,12.6949,GO,9175000,5967321,15142321,6.9913,11.5383,3453,18132,2.4473
Pecos-Barstow-Toyah ISD,2017,1.06,0.051,1.111,3651279510,38587140,12980,1699202.475,2313,2080,233,11.2019,GO,41656817,14897079,56553896,1.1409,1.5489,3209,18010,1.4656
Dayton ISD,2007,1.37,0.17,1.54,1137310333,41147135,25000,248943.9913,4569,4934,-365,-7.3976,GO,30359217,9654304,40013522,2.6694,3.5183,1214,6645,0.9724
Mathis ISD,2021,0.9631,0.4042,1.3672,498556292,28296870,7862,358360.95,1349.169,1549,-199.831,-12.9006,GO,23566685,11581246,35147931,4.727,7.0499,2998,17470,1.2421
Mabank ISD,2015,1.04,0.34,1.38,1079877609,32615697,19636,336810.0059,3200,3068,132,4.3025,GO,34914029,31695517,66609545,3.2331,6.1682,1778,10911,2.0423
Richardson ISD,2008,1.04,0.3,1.34,17237801052,371567871,248992,542144.8771,31796,31646,150,0.474,GO,444249988,212480975,656730963,2.5772,3.8098,1784,13972,1.7675
La Porte ISD,2019,1.17,0.21,1.38,9247632984,126837726,41182,1315815.7242,6798.609,7128,-329.391,-4.6211,GO,319985000,127887909,447872909,3.4602,4.8431,7770,47064,3.5311
Knippa ISD,2013,1.17,0.14,1.31,48007980,3393429,967,163146.505,294,223,71,31.8386,GO,4095000,1815760,5910760,8.5298,12.312,4235,13929,1.7418
Queen City ISD,2012,1.04,0.199,1.239,364032207,11029563,4549,351816.7767,1035,995,40,4.0201,GO,4185000,1371683,5556683,1.1496,1.5264,920,4043,0.5038
Hubbard ISDb,2019,1.17,0.37,1.54,83356844,4770821,1670,208453.6945,381.477,341,40.477,11.8701,GO,8264999,3299921,11564919,9.9152,13.874,4949,21693,2.4241
Bland ISD,2015,1.04,0.4763,1.5163,125712783,6613084,3249,225364.6091,556,554,2,0.361,GO,14835400,16537259,31372659,11.801,24.9558,4566,26682,4.744
Silsbee ISD,2017,1.17,0.37,1.54,759920633,31197924,16473,280520.6223,2676,2558,118,4.613,GO,36655000,14630248,51285248,4.8235,6.7488,2225,13698,1.6439
Poth ISD,2011,1.04,0.05,1.09,170899635,7541005,3832,220422.6539,775,728,47,6.456,GO,1590000,562450,2152450,0.9304,1.2595,415,2052,0.2854
Lueders-Avoca ISD,2015,1.0518,0.054,1.1058,97923690,1948113,857,926675.846,106,109,-3,-2.7523,GO,1120000,425200,1545200,1.1437,1.578,1307,10566,0.7932
Denison ISD,2017,1.17,0.3292,1.4992,1494829134,50135813,27430,332858.3486,4186,4083,103,2.5227,GO,78895050,66755500,145650550,5.2779,9.7436,2876,18847,2.9051
Mexia ISD,2021,1.0169,0.197,1.2139,486276160,23265420,11586,295270.26,1646.885,1702,-55.115,-3.2382,GO,13350000,3847463,17197463,2.7454,3.5366,1152,8106,0.7392
Haskell CISD,2008,1.17,0,1.17,119032305,7354416,3824,212036.3054,561,661,-100,-15.1286,GO,935000,338193,1273193,0.7855,1.0696,245,1667,0.1731
