Fiscal Year,County,Region,Alleged Victims in Repeat Investigation,Alleged Victims in Initial Investigation,Recidivism
2014,Concho,9-Midland,3,20,0.15
2014,Crane,9-Midland,2,12,0.167
2014,Crockett,9-Midland,4,15,0.267
2014,Dawson,9-Midland,13,75,0.173
2014,Ector,9-Midland,98,534,0.184
2014,Gaines,9-Midland,5,20,0.25
2014,Howard,9-Midland,28,183,0.153
2014,Irion,9-Midland,1,3,0.333
2014,Kimble,9-Midland,2,25,0.08
2014,Loving,9-Midland,0,1,0
2014,Martin,9-Midland,5,18,0.278
2014,Mason,9-Midland,1,13,0.077
2014,McCulloch,9-Midland,14,65,0.215
2014,Menard,9-Midland,2,10,0.2
2014,Midland,9-Midland,50,327,0.153
2014,Pecos,9-Midland,4,35,0.114
2014,Reagan,9-Midland,0,7,0
2014,Reeves,9-Midland,10,56,0.179
2014,Schleicher,9-Midland,1,12,0.083
2014,Sterling,9-Midland,0,2,0
2014,Sutton,9-Midland,3,13,0.231
2014,Terrell,9-Midland,0,6,0
2014,Tom Green,9-Midland,164,921,0.178
2014,Upton,9-Midland,2,22,0.091
2014,Ward,9-Midland,11,43,0.256
2014,Winkler,9-Midland,4,20,0.2
2014,Brewster,10-El Paso,18,59,0.305
2014,Culberson,10-El Paso,0,13,0
2014,El Paso,10-El Paso,380,2693,0.141
2014,Hudspeth,10-El Paso,1,20,0.05
2014,Jeff Davis,10-El Paso,2,9,0.222
2014,Presidio,10-El Paso,6,28,0.214
2014,Aransas,11-Edinburg,25,146,0.171
2014,Bee,11-Edinburg,32,143,0.224
2014,Brooks,11-Edinburg,6,52,0.115
2014,Cameron,11-Edinburg,200,1369,0.146
2014,Duval,11-Edinburg,6,66,0.091
2014,Hidalgo,11-Edinburg,286,2077,0.138
2014,Jim Hogg,11-Edinburg,1,20,0.05
2014,Jim Wells,11-Edinburg,20,172,0.116
2014,Kleberg,11-Edinburg,19,162,0.117
2014,Live Oak,11-Edinburg,2,31,0.065
2014,McMullen,11-Edinburg,1,3,0.333
2014,Nueces,11-Edinburg,286,1709,0.167
2014,Refugio,11-Edinburg,3,28,0.107
2014,San Patricio,11-Edinburg,43,284,0.151
2014,Starr,11-Edinburg,31,173,0.179
2014,Webb,11-Edinburg,75,594,0.126
2014,Willacy,11-Edinburg,21,141,0.149
2014,Zapata,11-Edinburg,4,32,0.125
2014,Out of State,Out of State,5,53,0.094
2014,None Specified,None Specified,1,2,0.5
